id,link
19,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=744737c5-0d96-4214-82ab-6cff016b1ea0&type=pdf
20,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7daef7e2-888d-4116-81a9-2c02b9ef97ef&type=pdf
21,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=1f8983ce-71b8-4c62-830d-e4692ddededa&type=pdf
22,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053&type=pdf
23,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=1a88218c-5b18-4220-8f56-526de1a276cd&type=pdf
24,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7ad38e3b-79a8-f4c1-0662-c24f3e897ac7&type=pdf
25,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=9402b022-5809-4251-dfef-54f6ef5723fe&type=pdf
26,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=68fba58a-7748-4581-8432-f5286c46d90a&type=pdf
27,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=59f3219f-898f-4d05-a430-c2b3f5255af1&type=pdf
28,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d69ce3d4-7ca4-4fe3-b49e-6655e48d6963&type=pdf
29,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d54a97d5-3664-4ca5-bffd-8366c7255b73&type=pdf
30,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a0829286-e9fc-442c-82d1-8268e1110109&type=pdf
31,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0332c7ca-7522-4fb5-96ea-2abe47322119&type=pdf
32,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=bc56f7fd-1aaf-48ff-8aa7-d467e59e1015&type=pdf
33,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a41b7601-34f2-4a88-a406-f53011fb7de1&type=pdf
34,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=68fba58a-7748-4581-8432-f5286c46d90a&type=pdf
35,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ae7c54b1-b440-4cca-97e8-e5b825413d32&type=pdf
36,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ae7c54b1-b440-4cca-97e8-e5b825413d32&type=pdf
37,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ff68a002-d46d-4f9f-0705-427844ea3655&type=pdf
38,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=fb08161e-7711-406d-e7b3-ea4515c07983&type=pdf
39,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=10db92f9-2300-4a80-836b-673e1ae91610&type=pdf
40,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ab8118dc-aca8-478b-8290-a468cbe36ae1&type=pdf
41,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=35f79dcf-1743-4d9f-aba5-5ead6b056309&type=pdf
42,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d5e07a0c-7e14-4756-9152-9fea485d654a&type=pdf
43,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b00570ff-4081-4514-b45b-eb6f753450f5&type=pdf
44,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=1971e893-5fdb-41e3-a1e9-5e52deed03d1&type=pdf
45,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0936a88f-b569-49c4-951b-14e8f6273b53&type=pdf
46,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=fe7eeb71-e219-4c84-ac06-98c3a40b14dc&type=pdf
47,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609&type=pdf
48,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609&type=pdf
49,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=13bb8267-1cab-43e5-acae-55a4d957630a&type=pdf
50,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=85b61f83-ab47-470d-8673-02fea29247be&type=pdf
51,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=820839ef-e53d-47e8-a3b9-d911ff92e6a9&type=pdf
52,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=def332bf-2906-4a6c-b85d-dfb56bb94312&type=pdf
53,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d1a78ff2-7672-3e69-00ef-63d203c80484&type=pdf
54,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5&type=pdf
55,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=394ea4a4-3991-4f98-b38f-56e9335d66b3&type=pdf
56,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=abd6a2ca-40c2-485c-bc53-db1c652505ed&type=pdf
57,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=f2f2b6c6-0ab1-483f-b4a2-78dfe3200153&type=pdf
58,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=13bb8267-1cab-43e5-acae-55a4d957630a&type=pdf
59,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b52e2905-f906-4c46-bb24-2c7754c5d75b&type=pdf
60,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=292671f2-f221-4a3d-a110-a266a9527e04&type=pdf
61,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=fd047b2b-05a6-4d99-95cb-955f14bf329f&type=pdf
62,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a355d5f2-407d-40fa-a374-b3632261ea4a&type=pdf
63,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=c042bf06-79a3-4dc7-ae05-3ef3cfae9d44&type=pdf
64,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a83f0b99-9038-4c5a-aaac-8792b32838fe&type=pdf
65,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e2a14762-3860-44c3-a3ea-5dbc45f4b1d5&type=pdf
66,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a24fd39c-34a7-4de2-9439-781e612189ca&type=pdf
67,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e&type=pdf
68,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=68942ec1-763a-4757-96ad-0e749aba348c&type=pdf
69,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=388e249d-b9b6-44c3-9f8f-880eced0239f&type=pdf
70,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b165dffd-1550-4d8d-a8ea-fe83512c34e6&type=pdf
71,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=32a409a0-fea6-411a-8218-c1c7df46d664&type=pdf
72,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=292671f2-f221-4a3d-a110-a266a9527e04&type=pdf
73,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=537b424a-3e07-4c81-978c-1ad99014032a&type=pdf
74,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=8bc6397e-4bd8-4d37-a007-a327e4da34d9&type=pdf
75,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=33c4a32f-15f4-3d0c-e054-00144ff88e88&type=pdf
76,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=129eaf3a-b013-4b29-a58f-1565f9f41d5b&type=pdf
77,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=129eaf3a-b013-4b29-a58f-1565f9f41d5b&type=pdf
78,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a2c1f1b7-70b0-416b-8bdf-9eaed156e34b&type=pdf
79,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=50a3cf38-66dc-4fa5-8a45-adf959c987ab&type=pdf
80,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=388e249d-b9b6-44c3-9f8f-880eced0239f&type=pdf
81,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e1ce1b9e-332b-4f1c-89c7-27071d3101ef&type=pdf
82,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=eabae489-e254-4987-ab90-7cda20a6f856&type=pdf
83,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=f911748c-fb3a-fe1a-ab2a-4b40455e05ef&type=pdf
84,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7d4df6ad-3d53-4664-9200-749487bf3689&type=pdf
85,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=97dde5f5-a865-4af2-b562-8da72c8475f3&type=pdf
86,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=031bf7c2-3b07-469d-bc5a-31fc6238e25f&type=pdf
87,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=9188ab17-8539-48a5-905f-ad35ab5a0b93&type=pdf
88,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=4f20df45-3f9c-4a91-b394-e93a08111ec3&type=pdf
89,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7bf4d3d3-3f8a-4e20-9194-061658efca61&type=pdf
90,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7b38ac8a-4540-4eb2-aedd-9aa966d22190&type=pdf
91,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=fb59c76a-9b6f-40ea-ac3a-58c3195c4377&type=pdf
92,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=53d40847-e0d3-48ec-81a7-ec5478553565&type=pdf
93,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=51f93a1c-90d0-4cbc-90f7-6f1415efd673&type=pdf
94,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0936a88f-b569-49c4-951b-14e8f6273b53&type=pdf
95,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=2d948600-35d8-4490-983b-918bdce488c8&type=pdf
96,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d86585b7-e146-4f04-9016-412b16e06f55&type=pdf
97,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=35de1c1c-bef5-46c5-b6f8-ea032147411c&type=pdf
98,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b9057d3b-b104-4f09-8a61-c61ef9d4a3f3&type=pdf
99,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7560c201-9246-487c-a13b-6295db04274a&type=pdf
100,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e8f40f72-3cf0-43dc-a797-fb98dd8af228&type=pdf
101,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=24ed00e0-25e2-49a8-97fc-66c1b417dc0b&type=pdf
102,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a24fd39c-34a7-4de2-9439-781e612189ca&type=pdf
103,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=11ac01f4-d26e-47b2-9660-d514ab097fdb&type=pdf
104,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=79b42076-359d-4258-b1d8-f40e67ac5424&type=pdf
105,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=79b42076-359d-4258-b1d8-f40e67ac5424&type=pdf
106,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e9481622-7cc6-418a-acb6-c5450daae9b0&type=pdf
107,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ae7c54b1-b440-4cca-97e8-e5b825413d32&type=pdf
108,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=f5c1c8c6-2a7f-482b-6ecf-9cabd3a6a5c1&type=pdf
109,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=2632b547-2e13-447f-ac85-c774e437d6a8&type=pdf
110,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a1648bd9-8a89-4292-b703-aa83d9bd6c6d&type=pdf
111,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=10cd5ca5-6f8b-417c-af11-a2054a2dde34&type=pdf
112,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a4fd2d68-019f-4c89-8923-4e61262f6eee&type=pdf
113,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=edae8df1-caf9-ff72-1304-5ae8b355f8e7&type=pdf
114,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=794aa355-66de-41b8-aedf-f2c40f6bc664&type=pdf
115,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=93b2d1b9-83c1-40b5-b6af-90c38c8d6cef&type=pdf
116,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=accb2879-7c0e-40d9-bc78-af78fc619609&type=pdf
117,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=3e6bf2b3-9339-4104-bda3-ad86a1949703&type=pdf
118,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=6d6ee6f8-9650-ff4f-e053-2991aa0acf19&type=pdf
119,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=89057c93-8155-4040-acec-64e877bd2b4c&type=pdf
120,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b05bc20e-cd19-ab40-1ad0-84a115d6d69e&type=pdf
121,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=51f93a1c-90d0-4cbc-90f7-6f1415efd673&type=pdf
122,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=8f1260de-b60c-4f0e-8af6-0e957b0a281b&type=pdf
123,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=688f5dec-a6db-43c6-a1f8-5df99d08d395&type=pdf
124,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=682dd8b8-fc6e-47c5-95b7-82d7ad96b750&type=pdf
125,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=888dc7f9-ad9c-4c00-8d50-8ddfd9bd27c0&type=pdf
126,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d28bec8f-762e-4f05-a20d-96a42970d6a7&type=pdf
127,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=75c7d502-0178-5ba1-e053-2a91aa0a7d67&type=pdf
128,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d28bec8f-762e-4f05-a20d-96a42970d6a7&type=pdf
129,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b9ee689a-ea12-435d-b01c-70d45891e62f&type=pdf
130,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e9d6774e-45f6-419f-b388-8dfb4dd34944&type=pdf
131,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0a1dd9b9-ada1-4bff-9dcb-18961254e9e8&type=pdf
